score_source,runs,avg_f1,std_f1,avg_roc_auc,avg_pr_auc,avg_best_f1,worst_f1,rank_by_f1
ocsvm,5,0.234609,0.3511,0.689544,0.24246,0.234609,0.008299,1
lof,5,0.073603,0.048049,0.63322,0.090813,0.073603,0.008299,2
iforest,5,0.067877,0.037091,0.756275,0.201976,0.067877,0.008299,3
ensemble,5,0.033574,0.062992,0.737053,0.116317,0.033574,0.0,4
