score_source,datasets,avg_f1,avg_roc_auc,avg_pr_auc
ocsvm,10,0.1760294,0.6824399999999999,0.2958687
lstm,9,0.17568344444444445,0.7895052222222222,0.2663218888888889
autoencoder,8,0.137861875,0.72713075,0.3507945
freeze,10,0.132783,0.564267,0.2284668
ensemble,10,0.12586060000000002,0.6561872,0.1964713
temporal_change,10,0.10929420000000001,0.6561872,0.1964713
iforest,10,0.090061,0.7198851,0.28748300000000004
lof,10,0.0860601,0.6400644,0.2092884
flatline,10,0.0136389,0.3395646,0.1040489
