dataset,score_source,selected_source,matched_dataset,rows,positive_count,predicted_positive_count,precision,recall,f1,roc_auc,pr_auc
adb_annthyroid,autoad_lodo,lof,uci_glass_rare_class,7200,534,303,0.191419,0.108614,0.13859,0.692956,0.143207
kddcup99_http,autoad_lodo,ensemble,adb_annthyroid,10000,376,742,0.016173,0.031915,0.021467,0.039919,0.035875
kddcup99_smtp,autoad_lodo,ocsvm,kddcup99_http,9571,3,360,0.005556,0.666667,0.011019,0.701819,0.014007
uci_glass_rare_class,autoad_lodo,ensemble,adb_annthyroid,214,9,16,0.0625,0.111111,0.08,0.693767,0.101953
uci_pendigits_digit0,autoad_lodo,lof,uci_glass_rare_class,7494,780,316,0.132911,0.053846,0.076642,0.511869,0.112949
