score_source,runs,avg_f1,std_f1,avg_roc_auc,avg_pr_auc,avg_best_f1,worst_f1,rank_by_f1
lof,1,0.14094,0.0,0.67524,0.133454,0.14094,0.14094,1
ocsvm,1,0.10962,0.0,0.572237,0.103804,0.10962,0.10962,2
ensemble,1,0.082774,0.0,0.511114,0.079352,0.082774,0.082774,3
iforest,1,0.0783,0.0,0.542194,0.088924,0.0783,0.0783,4
