run,datasets,avg_f1,avg_roc_auc,avg_pr_auc
learned_lodo_5_datasets,5,0.06554360000000001,0.5280659999999999,0.0815982
learned_lodo_10_datasets,10,0.07248800000000001,0.58038,0.17110609999999998
previous_calibrated_lodo_5_datasets,5,0.13261320000000001,0.573374,0.113751
