score_source,runs,avg_f1,std_f1,avg_roc_auc,avg_pr_auc,avg_best_f1,worst_f1,rank_by_f1
ensemble,5,0.316926,0.345858,0.825688,0.28534,0.316926,0.04,1
ocsvm,5,0.237395,0.349838,0.686101,0.241085,0.237395,0.008299,2
lof,5,0.098279,0.07767,0.620699,0.095616,0.098279,0.008299,3
iforest,5,0.070058,0.038804,0.733533,0.195822,0.070058,0.008299,4
