score_source,runs,avg_f1,std_f1,avg_roc_auc,avg_pr_auc,avg_best_f1,worst_f1,rank_by_f1
ensemble,1,0.287582,0.0,0.744766,0.21787,0.287582,0.287582,1
lof,1,0.14094,0.0,0.67524,0.133454,0.14094,0.14094,2
ocsvm,1,0.105145,0.0,0.572418,0.102744,0.105145,0.105145,3
iforest,1,0.085011,0.0,0.548649,0.089725,0.085011,0.085011,4
