score_source,runs,avg_f1,std_f1,avg_roc_auc,avg_pr_auc,avg_best_f1,worst_f1,rank_by_f1
ocsvm,5,0.236399,0.350268,0.694895,0.244339,0.236399,0.008299,1
ensemble,5,0.119239,0.121617,0.605606,0.113751,0.119239,0.005579,2
lof,5,0.075567,0.055287,0.619314,0.089983,0.075567,0.008299,3
iforest,5,0.070685,0.038983,0.732198,0.199006,0.070685,0.008299,4
