dataset,scenario,score_source,seed,noise_std,rows,injected_count,detected_count,precision,recall,f1,roc_auc,pr_auc,best_percentile,best_precision,best_recall,best_f1,threshold,models_used,params_effective,params_signature
baseline_server_metrics,scale_burst,ensemble,42,0.0,24,2,2,1.0,1.0,1.0,1.0,1.0,92.0,1.0,1.0,1.0,0.862543,"iforest,ocsvm,lof","{""contamination"": 0.08, ""scale_factor"": 3.0}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.08, ""scale_factor"": 3.0}, ""scenario"": ""scale_burst""}"
baseline_server_metrics,scale_burst,iforest,42,0.0,24,2,2,1.0,1.0,1.0,1.0,1.0,92.0,1.0,1.0,1.0,0.918041,"iforest,ocsvm,lof","{""contamination"": 0.08, ""scale_factor"": 3.0}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.08, ""scale_factor"": 3.0}, ""scenario"": ""scale_burst""}"
baseline_server_metrics,scale_burst,ocsvm,42,0.0,24,2,2,1.0,1.0,1.0,1.0,1.0,92.0,1.0,1.0,1.0,0.850998,"iforest,ocsvm,lof","{""contamination"": 0.08, ""scale_factor"": 3.0}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.08, ""scale_factor"": 3.0}, ""scenario"": ""scale_burst""}"
baseline_server_metrics,scale_burst,lof,42,0.0,24,2,2,1.0,1.0,1.0,1.0,1.0,92.0,1.0,1.0,1.0,0.821326,"iforest,ocsvm,lof","{""contamination"": 0.08, ""scale_factor"": 3.0}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.08, ""scale_factor"": 3.0}, ""scenario"": ""scale_burst""}"
baseline_server_metrics,scale_burst,ensemble,7,0.0,24,2,2,1.0,1.0,1.0,1.0,1.0,92.0,1.0,1.0,1.0,0.879557,"iforest,ocsvm,lof","{""contamination"": 0.08, ""scale_factor"": 3.0}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.08, ""scale_factor"": 3.0}, ""scenario"": ""scale_burst""}"
baseline_server_metrics,scale_burst,iforest,7,0.0,24,2,2,1.0,1.0,1.0,1.0,1.0,92.0,1.0,1.0,1.0,0.936372,"iforest,ocsvm,lof","{""contamination"": 0.08, ""scale_factor"": 3.0}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.08, ""scale_factor"": 3.0}, ""scenario"": ""scale_burst""}"
baseline_server_metrics,scale_burst,ocsvm,7,0.0,24,2,2,1.0,1.0,1.0,1.0,1.0,92.0,1.0,1.0,1.0,0.852326,"iforest,ocsvm,lof","{""contamination"": 0.08, ""scale_factor"": 3.0}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.08, ""scale_factor"": 3.0}, ""scenario"": ""scale_burst""}"
baseline_server_metrics,scale_burst,lof,7,0.0,24,2,2,1.0,1.0,1.0,1.0,1.0,92.0,1.0,1.0,1.0,0.857917,"iforest,ocsvm,lof","{""contamination"": 0.08, ""scale_factor"": 3.0}","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.08, ""scale_factor"": 3.0}, ""scenario"": ""scale_burst""}"
baseline_server_metrics,temporal_block,ensemble,42,0.0,24,3,2,1.0,0.666667,0.8,1.0,1.0,87.0,1.0,1.0,1.0,0.885745,"iforest,ocsvm,lof","{""block_count"": 1, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}","{""noise_std"": 0.0, ""params"": {""block_count"": 1, ""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""temporal_block""}"
baseline_server_metrics,temporal_block,iforest,42,0.0,24,3,2,1.0,0.666667,0.8,1.0,1.0,87.0,1.0,1.0,1.0,0.970473,"iforest,ocsvm,lof","{""block_count"": 1, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}","{""noise_std"": 0.0, ""params"": {""block_count"": 1, ""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""temporal_block""}"
baseline_server_metrics,temporal_block,ocsvm,42,0.0,24,3,2,0.5,0.333333,0.4,0.873016,0.591667,66.0,0.375,1.0,0.545455,0.310138,"iforest,ocsvm,lof","{""block_count"": 1, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}","{""noise_std"": 0.0, ""params"": {""block_count"": 1, ""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""temporal_block""}"
