dataset,scenario,score_source,noise_std,n_runs,f1_mean,f1_std,roc_auc_mean,roc_auc_std,pr_auc_mean,pr_auc_std,best_f1_mean,best_f1_std,best_percentile_median,rows,params_effective,models_used,params_signature
baseline_server_metrics,joint_shift,freeze,0.0,2,0.0,0.0,0.5,0.0,0.125,0.0,0.0,0.0,95.0,24,"{""contamination"": 0.1, ""magnitude_in_std"": 4.0}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""joint_shift""}"
baseline_server_metrics,scale_burst,ensemble,0.0,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,92.0,24,"{""contamination"": 0.08, ""scale_factor"": 3.0}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.08, ""scale_factor"": 3.0}, ""scenario"": ""scale_burst""}"
baseline_server_metrics,scale_burst,iforest,0.0,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,92.0,24,"{""contamination"": 0.08, ""scale_factor"": 3.0}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.08, ""scale_factor"": 3.0}, ""scenario"": ""scale_burst""}"
baseline_server_metrics,scale_burst,ocsvm,0.0,2,0.0,0.0,0.829546,0.011364,0.300596,0.008929,0.422222,0.022222,68.0,24,"{""contamination"": 0.08, ""scale_factor"": 3.0}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.08, ""scale_factor"": 3.0}, ""scenario"": ""scale_burst""}"
baseline_server_metrics,scale_burst,lof,0.0,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,92.0,24,"{""contamination"": 0.08, ""scale_factor"": 3.0}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.08, ""scale_factor"": 3.0}, ""scenario"": ""scale_burst""}"
baseline_server_metrics,scale_burst,knn_distance,0.0,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,92.0,24,"{""contamination"": 0.08, ""scale_factor"": 3.0}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.08, ""scale_factor"": 3.0}, ""scenario"": ""scale_burst""}"
baseline_server_metrics,scale_burst,flatline,0.0,2,0.0,0.0,0.0,0.0,0.07337,0.009964,0.0,0.0,95.0,24,"{""contamination"": 0.08, ""scale_factor"": 3.0}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.08, ""scale_factor"": 3.0}, ""scenario"": ""scale_burst""}"
baseline_server_metrics,scale_burst,temporal_change,0.0,2,0.583333,0.083334,0.971591,0.017045,0.791667,0.041666,0.733334,0.066667,85.0,24,"{""contamination"": 0.08, ""scale_factor"": 3.0}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.08, ""scale_factor"": 3.0}, ""scenario"": ""scale_burst""}"
baseline_server_metrics,scale_burst,freeze,0.0,2,0.0,0.0,0.5,0.0,0.083333,0.0,0.0,0.0,95.0,24,"{""contamination"": 0.08, ""scale_factor"": 3.0}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""columns"": null, ""contamination"": 0.08, ""scale_factor"": 3.0}, ""scenario"": ""scale_burst""}"
baseline_server_metrics,temporal_block,ensemble,0.0,2,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,87.0,24,"{""block_count"": 1, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""block_count"": 1, ""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""temporal_block""}"
baseline_server_metrics,temporal_block,iforest,0.0,2,0.8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,87.0,24,"{""block_count"": 1, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""block_count"": 1, ""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""temporal_block""}"
baseline_server_metrics,temporal_block,ocsvm,0.0,2,0.4,0.4,0.873016,0.126984,0.657937,0.342063,0.75,0.25,83.0,24,"{""block_count"": 1, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""block_count"": 1, ""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""temporal_block""}"
baseline_server_metrics,temporal_block,lof,0.0,2,0.8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,87.0,24,"{""block_count"": 1, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""block_count"": 1, ""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""temporal_block""}"
baseline_server_metrics,temporal_block,knn_distance,0.0,2,0.8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,87.0,24,"{""block_count"": 1, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""block_count"": 1, ""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""temporal_block""}"
baseline_server_metrics,temporal_block,flatline,0.0,2,0.0,0.0,0.0,0.0,0.085804,0.0,0.0,0.0,95.0,24,"{""block_count"": 1, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""block_count"": 1, ""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""temporal_block""}"
baseline_server_metrics,temporal_block,temporal_change,0.0,2,0.6,0.2,0.833333,0.13492,0.625,0.241667,0.685715,0.114286,87.5,24,"{""block_count"": 1, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""block_count"": 1, ""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""temporal_block""}"
baseline_server_metrics,temporal_block,freeze,0.0,2,0.0,0.0,0.5,0.0,0.125,0.0,0.0,0.0,95.0,24,"{""block_count"": 1, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""block_count"": 1, ""columns"": null, ""contamination"": 0.1, ""magnitude_in_std"": 4.0}, ""scenario"": ""temporal_block""}"
baseline_server_metrics,dead_sensor,ensemble,0.0,2,0.5,0.5,0.522728,0.477272,0.532738,0.467262,0.5,0.5,93.5,24,"{""contamination"": 0.08, ""mode"": ""median""}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""columns"": null, ""constant"": null, ""contamination"": 0.08, ""mode"": ""median""}, ""scenario"": ""dead_sensor""}"
baseline_server_metrics,dead_sensor,iforest,0.0,2,0.0,0.0,0.113637,0.022728,0.093074,0.002164,0.0,0.0,95.0,24,"{""contamination"": 0.08, ""mode"": ""median""}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""columns"": null, ""constant"": null, ""contamination"": 0.08, ""mode"": ""median""}, ""scenario"": ""dead_sensor""}"
baseline_server_metrics,dead_sensor,ocsvm,0.0,2,0.0,0.0,0.159091,0.022727,0.097619,0.002381,0.0,0.0,95.0,24,"{""contamination"": 0.08, ""mode"": ""median""}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""columns"": null, ""constant"": null, ""contamination"": 0.08, ""mode"": ""median""}, ""scenario"": ""dead_sensor""}"
baseline_server_metrics,dead_sensor,lof,0.0,2,0.0,0.0,0.272728,0.045455,0.111455,0.006192,0.0,0.0,95.0,24,"{""contamination"": 0.08, ""mode"": ""median""}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""columns"": null, ""constant"": null, ""contamination"": 0.08, ""mode"": ""median""}, ""scenario"": ""dead_sensor""}"
baseline_server_metrics,dead_sensor,knn_distance,0.0,2,0.0,0.0,0.090909,0.0,0.090909,0.0,0.0,0.0,95.0,24,"{""contamination"": 0.08, ""mode"": ""median""}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""columns"": null, ""constant"": null, ""contamination"": 0.08, ""mode"": ""median""}, ""scenario"": ""dead_sensor""}"
baseline_server_metrics,dead_sensor,flatline,0.0,2,0.5,0.5,0.954546,0.045455,0.75,0.25,0.833333,0.166666,85.0,24,"{""contamination"": 0.08, ""mode"": ""median""}","iforest,ocsvm,lof,knn_distance,flatline,temporal_change,freeze","{""noise_std"": 0.0, ""params"": {""columns"": null, ""constant"": null, ""contamination"": 0.08, ""mode"": ""median""}, ""scenario"": ""dead_sensor""}"
